full_d	base_e	base_d	artikel_d	Sample sentence	Sample sentence Typing Corrects	pos	audio	s1	s2
	you (familiar, singular)	du		Du bist blöd.		pron	[sound:af1553d8-897c-5807-b9b0-47d807b3c64d.mp3]	Du bist blöd.	
	above all (short)	vor allem		Vor allem geht es wieder ums Geld.			[sound:391646d3-f169-5ae1-a155-79fe4fb6e1bd.mp3]	Vor allem geht es wieder ums Geld.	
	no more...either	auch nicht mehr		Daran habe ich auch nicht mehr gedacht.			[sound:575d9427-7b9f-5ace-a114-a640ecc4b486.mp3]	Daran habe ich auch nicht mehr gedacht.	
	my, mine	mein		Meine Katze ist weggelaufen.		pron	[sound:1693d7d1-b20a-572a-83b5-9ecd66eb4b16.mp3]	Meine Katze ist weggelaufen.	
	other (a~)	ander		Ich reise gern in andere Länder.		adj	[sound:b34117a6-e0c0-59a8-b75e-ccf6275137ed.mp3]	Ich reise gern in andere Länder.	
	already (s~)	schon		Ich habe schon gegessen.		adv	[sound:ad720dd4-6d9a-5e82-9e95-d7a4bce8b349.mp3]	Ich habe schon gegessen.	
sagt; sagte; hat gesagt	to say	sagen		Conny sagt ihrem Mann die Wahrheit.		verb	[sound:6d8ee921-f282-5781-90be-1d1e59f42b7e.mp3]	Conny sagt ihrem Mann die Wahrheit.	
	more than	mehr als		In den Saal passen nicht mehr als 40 Leute.			[sound:74f166db-2ddb-5e95-a4ee-1c8f9e0e2a3a.mp3]	In den Saal passen nicht mehr als 40 Leute.	
	more	mehr		Nächste Woche hat Barbara wieder mehr Zeit.		adv	[sound:bdeec1fd-54ce-536f-9b7a-2ef19a480eee.mp3]	Nächste Woche hat Barbara wieder mehr Zeit.	
	in front of, before, ago	vor		Ich stelle mein Fahrrad vor das Haus.		prep	[sound:d49beca8-4777-5ea5-9908-906a0e9bde56.mp3]	Ich stelle mein Fahrrad vor das Haus.	
macht; machte; hat gemacht	to do, make	machen		Ich mache meine Hausaufgaben.		verb	[sound:ecaf508f-869d-56f2-83b5-eb4820c55968.mp3]	Ich mache meine Hausaufgaben.	
	no (k~)	kein		In Deutschland wachsen keine Ananas.		prep	[sound:5a528d19-334f-50d2-b082-43bdc4bee223.mp3]	In Deutschland wachsen keine Ananas.	
	if, when	wenn		Wenn es regnet, bleiben wir zu Hause.		conj	[sound:89fe23d0-7ee9-5018-97bc-a55918f461bb.mp3]	Wenn es regnet, bleiben wir zu Hause.	
	around, at	um		Der Hund läuft um das Haus.		prep	[sound:9755d902-bedd-514e-bbb0-368dc5e0a42a.mp3]	Der Hund läuft um das Haus.	
	among other	unter anderem (u.a.)		Im Kino läuft unter anderem gerade Casablanca.			[sound:43af5102-8d65-5a75-8d7b-39eacda06c50.mp3]	Im Kino läuft unter anderem gerade Casablanca.	
	to oneself, along	vor sich hin		Johann sagte den Spruch immer wieder laut vor sich hin.			[sound:1e46f7cc-33c4-5650-9f8e-8cdc282b59fc.mp3]	Johann sagte den Spruch immer wieder laut vor sich hin.	
	through	durch		Frau Ehmke spaziert durch die Stadt.		prep	[sound:feee37c3-0f3a-5dcb-93b7-811110d2779a.mp3]	Frau Ehmke spaziert durch die Stadt.	
gibt; gab; hat gegeben	to give	geben		Ich gebe dir das Buch.		verb	[sound:73c2df65-5596-53ea-ab3b-68d8e4701d59.mp3]	Ich gebe dir das Buch.	
	more or less	mehr oder weniger		Das ist mehr oder weniger egal.			[sound:4c7f2571-d209-5d91-8e6b-d1032a7befea.mp3]	Das ist mehr oder weniger egal.	
	above, over, about	über		Fury springt über den Graben.		prep	[sound:f590f1e6-a0ee-5d72-aa4b-47916b05ad0e.mp3]	Fury springt über den Graben.	
	in order to	um...zu		Um die Fenster zu putzen, brauche ich eine Leiter.			[sound:ab048145-eafb-5268-bd2f-1af65e25caef.mp3]	Um die Fenster zu putzen, brauche ich eine Leiter.	
	times	mal		Drei mal drei ist neun.		conj	[sound:9b53b735-8430-5d0e-85c5-50224374e70e.mp3]	Drei mal drei ist neun.	
die Male	time (M~)	Mal	das 	Helmut ist schon zum zweiten Mal in Schweden.		noun	[sound:b335c8aa-5cdb-5363-befa-7975684ae5f3.mp3]	Helmut ist schon zum zweiten Mal in Schweden.	
	not very	nicht so sehr		- Tut es noch sehr weh? - Nein, nicht so sehr.			[sound:49daa7d3-0659-5dca-8a5a-bdb19a5869bc.mp3]	- Tut es noch sehr weh? - Nein, nicht so sehr.	
	here	hier		Familie Reinke wohnt seit sechs Jahren hier.		adv	[sound:22cf2f4b-3367-54cf-8886-6ad2010c65ee.mp3]	Familie Reinke wohnt seit sechs Jahren hier.	
	two	zwei		Paul hat zwei Fragen an dich.		num	[sound:81048aa8-e696-5668-9812-5f045a6bebe6.mp3]	Paul hat zwei Fragen an dich.	
	much, a lot, many	viel		Sie haben heute nicht viel Spaß.		pron	[sound:fab7bf9c-11b7-586a-be61-1cd49a1d8f22.mp3]	Sie haben heute nicht viel Spaß.	
	good	gut		Das Eis schmeckt gut.		adj	[sound:b0fbc270-940a-5057-87d4-0e56167825cb.mp3]	Das Eis schmeckt gut.	
	until, till	bis		1) Bis nächsten Dienstag! 2) Ich warte, bis du fertig bist.		prep; conj	[sound:d22e5f7a-4d30-560e-8c52-47972316dfca.mp3]	Bis nächsten Dienstag!	Ich warte, bis du fertig bist.
	always (i~)	immer		Er kommt immer zu spät.		adv	[sound:6b8d94d4-5005-51e7-bd94-e760d358b5a3.mp3]	Er kommt immer zu spät.	
geht; ging; ist gegangen	to go	gehen		Wir gehen ins Kino.		verb	[sound:80a49afb-0d7f-57f8-ad6d-35d5c9ea56a1.mp3]	Wir gehen ins Kino.	
	now (j~)	jetzt		Antina schläft jetzt schon zwei Stunden.		adv	[sound:ab3bd628-31f5-5598-8fc3-fd1a6296f420.mp3]	Antina schläft jetzt schon zwei Stunden.	
	again (not 'wiederum')	wieder		Wir haben wieder das gleiche Problem.		adv	[sound:006aa5ec-d77c-531d-a669-04d44a91a935.mp3]	Wir haben wieder das gleiche Problem.	
	new	neu		Ruben braucht neue Turnschuhe.		adj	[sound:a78c1bd7-ab88-5664-a75f-30c23d4d1ff2.mp3]	Ruben braucht neue Turnschuhe.	
	big, large, great	groß		Berlin ist eine große Stadt.		adj	[sound:833674b8-e91e-5cc9-8eaa-7513ec553247.mp3]	Berlin ist eine große Stadt.	
will; wollte; hat gewollt	to want to	wollen		Ich will nicht mit dir streiten.		verb	[sound:a0b53517-b015-5374-9707-7465e8524c12.mp3]	Ich will nicht mit dir streiten.	
	whole, all the	ganz		Die ganze Welt schaut auf diese Stadt.		adj	[sound:de6eefdc-74bc-5199-92ca-256b08e47b28.mp3]	Die ganze Welt schaut auf diese Stadt.	
	very	sehr		Ich freue mich sehr über deinen Anruf.		adv	[sound:49ed3d68-fc19-5e17-8880-759b59b37b9a.mp3]	Ich freue mich sehr über deinen Anruf.	
weiß; wusste; hat gewusst	to know	wissen		Woher weißt du das?		verb	[sound:a4669c77-eefc-5e0c-94a7-6b518e12c5d7.mp3]	Woher weißt du das?	
kommt; kam; ist gekommen	to come	kommen		Wir kommen morgen zu dir.		verb	[sound:14f50017-04a8-5d1c-9876-47a18a1c4ff3.mp3]	Wir kommen morgen zu dir.	
	however, still (d~)	doch		Boris wollte erst nicht am Turnier teilnehmen, doch dann haben sie ihn überredet.		adv	[sound:1eda1b68-31bd-56dd-84ff-75c1102c577f.mp3]	Boris wollte erst nicht am Turnier teilnehmen, doch dann haben sie ihn überredet.	
soll; sollte; hat gesollt	should, ought to	sollen		Soll ich dir einen Tee machen?		verb	[sound:201d6564-df88-5e9e-8b0c-98c997943c22.mp3]	Soll ich dir einen Tee machen?	
	the first time	erste Mal	das 	Das erste Mal war ich sehr skeptisch.			[sound:1f0a4e95-07e1-5ea0-b06b-3a2476a70e58.mp3]	Das erste Mal war ich sehr skeptisch.	
	for the first time	zum ersten Mal		Martha fliegt zum ersten Mal.	Erstmals hatten sie keine Angst mehr, Erstmals hatten sie keine Angst mehr, nicht satt zu werden., nicht satt zu werden., Erstmals hatten sie keine Angst mehr, Erstmals hatten sie keine Angst mehr, nicht satt zu werden., nicht satt zu werden.		[sound:de1bbf1c-59d2-5e9a-b103-0fb9d1c64c69.mp3]	Martha fliegt zum ersten Mal.	
	not so good	nicht so gut		Bianca spricht nicht so gut Spanisch.			[sound:954bbb26-b997-5fef-a833-93d963fb87ff.mp3]	Bianca spricht nicht so gut Spanisch.	
	virtually (so ~)	so gut wie		Der Erfolg ist uns so gut wie sicher.			[sound:1566e04f-e506-5870-b75b-e4a7289d14c7.mp3]	Der Erfolg ist uns so gut wie sicher.	
	our	unser		Unser Haus ist das schönste im Dorf.		pron	[sound:478401d5-203a-5bfc-ba26-b833ce12632e.mp3]	Unser Haus ist das schönste im Dorf.	
	under	unter		Der Hund liegt unter dem Tisch.		prep	[sound:6bc05bd4-f30f-5fa0-acb2-90574c816148.mp3]	Der Hund liegt unter dem Tisch.	
	first	erste		Der erste Zug fährt um sechs Uhr ab.		adj	[sound:909d5fd3-29a9-51a8-907f-6dcb1aea1615.mp3]	Der erste Zug fährt um sechs Uhr ab.	
	for a long time	lange, lang		Jakob hat lange auf Rahel gewartet.		adv	[sound:7520e3bc-3823-5add-8767-ec86f35169f5.mp3]	Jakob hat lange auf Rahel gewartet.	
