ID Origin State,Origin State,ID SCTG (2012),ID SCTG (2013),ID SCTG (2014),ID SCTG (2015),ID SCTG (2016),ID SCTG (2017),ID SCTG (2018),ID SCTG (2020),ID SCTG (2022),ID SCTG (2023),ID SCTG (2025),ID SCTG (2030),ID SCTG (2035),ID SCTG (2040),ID SCTG (2045),ID SCTG (2050),Millions Of Dollars (2012),Millions Of Dollars (2013),Millions Of Dollars (2014),Millions Of Dollars (2015),Millions Of Dollars (2016),Millions Of Dollars (2017),Millions Of Dollars (2018),Millions Of Dollars (2020),Millions Of Dollars (2022),Millions Of Dollars (2023),Millions Of Dollars (2025),Millions Of Dollars (2030),Millions Of Dollars (2035),Millions Of Dollars (2040),Millions Of Dollars (2045),Millions Of Dollars (2050),SCTG (2012),SCTG (2013),SCTG (2014),SCTG (2015),SCTG (2016),SCTG (2017),SCTG (2018),SCTG (2020),SCTG (2022),SCTG (2023),SCTG (2025),SCTG (2030),SCTG (2035),SCTG (2040),SCTG (2045),SCTG (2050)
"04000US16","Idaho","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",48.75120162963867,47.119300842285156,45.72919845581055,46.21620178222656,44.68300247192383,5.9202680587768555,41.662899017333984,6.251551151275635,6.3154706954956055,6.33921480178833,6.8456950187683105,7.044782638549805,7.258105278015137,7.890676975250244,8.422497749328613,9.148343086242676,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US17","Illinois","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",2710.12060546875,2619.820556640625,2547.973876953125,2574.265625,2489.97802734375,1283.124755859375,2310.8212890625,1357.9248046875,1354.9283447265625,1354.1695556640625,1408.6376953125,1470.304443359375,1549.0819091796875,1680.4852294921875,1759.6435546875,1878.2803955078125,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US18","Indiana","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",687.6234130859375,664.8007202148438,646.3095092773438,653.0324096679688,632.0808715820312,376.7542419433594,589.4346923828125,353.9794616699219,343.7904052734375,336.0632629394531,338.460205078125,331.3350524902344,346.4635925292969,374.5177917480469,398.47393798828125,435.2203369140625,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US19","Iowa","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",139.53460693359375,134.90469360351562,131.15280151367188,132.5175018310547,128.2646942138672,84.24293518066406,119.61140441894531,63.65332794189453,59.64643478393555,58.62947082519531,60.071842193603516,64.97227478027344,72.51483154296875,88.09754180908203,103.17485809326172,115.21377563476562,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US20","Kansas","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",285.6824951171875,276.20770263671875,268.51898193359375,271.3414001464844,262.793701171875,8.1595458984375,244.88319396972656,8.098018646240234,8.159724235534668,8.26025104522705,8.868069648742676,9.382344245910645,9.554542541503906,10.58190631866455,11.25829792022705,12.418597221374512,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US21","Kentucky","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",1446.951171875,1555.1307373046875,1498.7371826171875,1477.941650390625,1426.7388916015625,1181.9495849609375,1338.100341796875,1146.12548828125,998.3318481445312,962.1683959960938,919.1428833007812,824.7219848632812,774.7681274414062,794.2024536132812,817.010498046875,857.7603759765625,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US22","Louisiana","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",535.2094116210938,524.580078125,511.5326843261719,519.20947265625,492.12908935546875,501.1811828613281,458.95989990234375,510.1751403808594,496.46435546875,486.5171813964844,490.77288818359375,470.1944580078125,453.470458984375,474.55670166015625,495.2544860839844,523.4364624023438,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US23","Maine","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",3.9038000106811523,3.7363998889923096,3.3576998710632324,3.1648001670837402,3.0292999744415283,6.404942035675049,2.8178000450134277,6.582037925720215,6.8024091720581055,6.9382853507995605,7.350642204284668,7.799021244049072,7.7903337478637695,8.182600021362305,8.137838363647461,8.365635871887207,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US24","Maryland","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",386.60650634765625,374.10699462890625,363.22308349609375,367.3601989746094,355.1994934082031,395.74267578125,331.3182067871094,393.48992919921875,366.99993896484375,355.65179443359375,350.6578369140625,325.9081115722656,324.8350524902344,344.9365539550781,368.06146240234375,402.836181640625,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US25","Massachusetts","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",473.33538818359375,457.1593017578125,444.7093811035156,449.9278869628906,435.29290771484375,28.790340423583984,407.67730712890625,29.551982879638672,28.282136917114258,27.697229385375977,27.8496150970459,27.82451629638672,28.54330062866211,30.573368072509766,32.07306671142578,34.28976058959961,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US26","Michigan","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",951.0908813476562,914.1539916992188,888.9385986328125,897.17138671875,868.2717895507812,781.4425659179688,810.7103271484375,745.2283935546875,706.6405639648438,692.334716796875,695.8696899414062,661.15673828125,655.3307495117188,678.7913818359375,691.7011108398438,719.5404663085938,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US27","Minnesota","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",123.53710174560547,119.18610382080078,115.7135009765625,116.8456039428711,113.08390045166016,67.5239028930664,105.47599792480469,72.3662109375,72.49361419677734,72.38406372070312,77.93621826171875,81.25618743896484,84.9154052734375,93.586669921875,100.64099884033203,109.96266174316406,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US28","Mississippi","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",336.63031005859375,325.4607849121094,316.40899658203125,319.70159912109375,309.4413757324219,565.3382568359375,288.5647888183594,535.7775268554688,525.3645629882812,506.2788391113281,513.7661743164062,512.8721313476562,527.5301513671875,589.284423828125,644.456298828125,718.548583984375,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US29","Missouri","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",575.9249877929688,556.868408203125,541.4152221679688,547.1351928710938,529.4918212890625,1085.367431640625,493.6824951171875,1107.466552734375,1099.9656982421875,1092.342529296875,1268.4888916015625,1224.6141357421875,1282.67822265625,1409.4288330078125,1525.799072265625,1656.7457275390625,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US30","Montana","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",23.46000099182129,95.77870178222656,118.46959686279297,166.3905029296875,209.6614990234375,256.955078125,265.0500183105469,259.74932861328125,262.1319274902344,263.3697814941406,271.8817138671875,273.7982482910156,274.97943115234375,280.158203125,284.3797607421875,290.65570068359375,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US31","Nebraska","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",728.2907104492188,704.1259155273438,684.5427856445312,691.6655883789062,669.4683227539062,310.6402893066406,625.1744995117188,315.38934326171875,313.00634765625,310.3362121582031,335.3924865722656,356.9687194824219,371.1161804199219,412.0685119628906,441.4711608886719,480.4610290527344,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US32","Nevada","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",199.08689880371094,192.5825958251953,187.13650512695312,189.1981964111328,183.1654052734375,39.88619613647461,171.0102996826172,39.60977554321289,39.206451416015625,38.6554069519043,41.64189910888672,47.756324768066406,46.71556091308594,47.350433349609375,49.28376770019531,51.87557601928711,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US33","New Hampshire","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",4.7953996658325195,4.636199951171875,4.5254998207092285,4.554300308227539,4.416800022125244,19.061954498291016,4.167699813842773,19.476388931274414,18.432220458984375,18.039499282836914,18.427165985107422,17.635173797607422,17.164764404296875,17.295711517333984,17.168903350830078,17.609529495239258,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US34","New Jersey","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",919.759033203125,872.0420532226562,839.3401489257812,854.8302001953125,818.5662841796875,2965.525146484375,763.7929077148438,2874.37646484375,2682.10888671875,2604.948486328125,2593.539306640625,2488.20947265625,2470.0458984375,2616.29736328125,2751.36083984375,2946.955810546875,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US35","New Mexico","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",9.413599967956543,9.095399856567383,9.129899978637695,8.947999954223633,8.736300468444824,10.589658737182617,8.064399719238281,10.077882766723633,9.660090446472168,9.542974472045898,8.275365829467773,8.246811866760254,8.213854789733887,8.524603843688965,8.746182441711426,9.129544258117676,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US36","New York","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",2173.284912109375,2115.65380859375,2053.635986328125,2069.9814453125,2008.7567138671875,1295.2711181640625,1894.53173828125,1323.5767822265625,1205.1593017578125,1164.132568359375,1153.4454345703125,1059.3370361328125,1023.414306640625,1036.9229736328125,1052.23681640625,1113.0548095703125,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US37","North Carolina","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",18137.44140625,17533.541015625,16996.8046875,17159.115234375,16603.515625,26343.599609375,15282.619140625,24026.505859375,21676.4765625,20378.044921875,18206.33984375,15371.8837890625,13447.8857421875,11777.4912109375,11151.3603515625,11086.4970703125,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US38","North Dakota","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",122.86119842529297,116.47640228271484,111.48860168457031,113.23049926757812,106.79000091552734,9.239779472351074,95.91310119628906,9.011346817016602,9.4973783493042,9.702884674072266,10.480950355529785,12.333419799804688,14.450666427612305,17.173404693603516,20.435991287231445,24.428653717041016,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US39","Ohio","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",1725.216552734375,1798.203369140625,1756.2564697265625,1935.0948486328125,2022.9559326171875,1599.8133544921875,2040.8902587890625,1571.9715576171875,1539.0675048828125,1526.0941162109375,1532.902099609375,1511.7847900390625,1521.6162109375,1581.1416015625,1627.98388671875,1690.76318359375,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US40","Oklahoma","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",597.7498779296875,577.9965209960938,561.845703125,567.6959838867188,549.4711303710938,630.7448120117188,512.4008178710938,681.7589111328125,668.4642944335938,658.1500244140625,681.743896484375,664.0293579101562,653.3408203125,686.8174438476562,711.0151977539062,759.727294921875,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US41","Oregon","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",112.4561996459961,108.72489929199219,105.7177963256836,106.81779479980469,103.3821029663086,23.928470611572266,96.41600036621094,24.188093185424805,23.799808502197266,23.399032592773438,24.433273315429688,24.528263092041016,25.061477661132812,27.034719467163086,28.606176376342773,30.88345718383789,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US42","Pennsylvania","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",2237.63134765625,2174.96435546875,2114.49951171875,2136.800048828125,2075.91015625,4719.52490234375,1948.85791015625,4570.51708984375,4329.083984375,4226.86474609375,4422.5595703125,4467.259765625,4703.267578125,5242.8095703125,5792.17236328125,6546.86962890625,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US44","Rhode Island","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",2.0278000831604004,1.9270000457763672,1.8733999729156494,1.8980000019073486,1.8321000337600708,3.6482551097869873,1.7085000276565552,3.5717949867248535,3.3274359703063965,3.229588031768799,3.2543749809265137,3.182778835296631,3.2471821308135986,3.492224931716919,3.746563196182251,4.09617280960083,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US45","South Carolina","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",219.66250610351562,212.0966033935547,205.99679565429688,207.12229919433594,199.54161071777344,274.7881774902344,187.677001953125,282.52874755859375,289.3296813964844,292.2863464355469,328.772705078125,354.8914489746094,368.421630859375,416.9796142578125,454.53533935546875,478.8995056152344,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
"04000US46","South Dakota","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09","09",15.40719985961914,14.895999908447266,14.48169994354248,14.632399559020996,14.162799835205078,3.650225877761841,13.207300186157227,3.550386905670166,3.3361659049987793,3.2386820316314697,3.2521212100982666,3.0710299015045166,3.0445470809936523,3.215139150619507,3.3690919876098633,3.619499921798706,"Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods.","Tobacco prods."
