sagen	to say	sagt; sagte; hat gesagt	Conny sagt ihrem Mann die Wahrheit.		verb	[sound:6d8ee921-f282-5781-90be-1d1e59f42b7e.mp3]
mehr als	more than		In den Saal passen nicht mehr als 40 Leute.			[sound:74f166db-2ddb-5e95-a4ee-1c8f9e0e2a3a.mp3]
mehr	more		Nächste Woche hat Barbara wieder mehr Zeit.		adv	[sound:bdeec1fd-54ce-536f-9b7a-2ef19a480eee.mp3]
vor	in front of, before, ago		Ich stelle mein Fahrrad vor das Haus.		prep	[sound:d49beca8-4777-5ea5-9908-906a0e9bde56.mp3]
machen	to do, make	macht; machte; hat gemacht	Ich mache meine Hausaufgaben.		verb	[sound:ecaf508f-869d-56f2-83b5-eb4820c55968.mp3]
kein	no (k~)		In Deutschland wachsen keine Ananas.		prep	[sound:5a528d19-334f-50d2-b082-43bdc4bee223.mp3]
wenn	if, when		Wenn es regnet, bleiben wir zu Hause.		conj	[sound:89fe23d0-7ee9-5018-97bc-a55918f461bb.mp3]
um	around, at		Der Hund läuft um das Haus.		prep	[sound:9755d902-bedd-514e-bbb0-368dc5e0a42a.mp3]
unter anderem (u.a.)	among other		Im Kino läuft unter anderem gerade Casablanca.			[sound:43af5102-8d65-5a75-8d7b-39eacda06c50.mp3]
vor sich hin	to oneself, along		Johann sagte den Spruch immer wieder laut vor sich hin.			[sound:1e46f7cc-33c4-5650-9f8e-8cdc282b59fc.mp3]
durch	through		Frau Ehmke spaziert durch die Stadt.		prep	[sound:feee37c3-0f3a-5dcb-93b7-811110d2779a.mp3]
geben	to give	gibt; gab; hat gegeben	Ich gebe dir das Buch.		verb	[sound:73c2df65-5596-53ea-ab3b-68d8e4701d59.mp3]
mehr oder weniger	more or less		Das ist mehr oder weniger egal.			[sound:4c7f2571-d209-5d91-8e6b-d1032a7befea.mp3]
über	above, over, about		Fury springt über den Graben.		prep	[sound:f590f1e6-a0ee-5d72-aa4b-47916b05ad0e.mp3]
um...zu	in order to		Um die Fenster zu putzen, brauche ich eine Leiter.			[sound:ab048145-eafb-5268-bd2f-1af65e25caef.mp3]
mal	times		Drei mal drei ist neun.		conj	[sound:9b53b735-8430-5d0e-85c5-50224374e70e.mp3]
das Mal	time (M~)	die Male	Helmut ist schon zum zweiten Mal in Schweden.		noun	[sound:b335c8aa-5cdb-5363-befa-7975684ae5f3.mp3]
nicht so sehr	not very		- Tut es noch sehr weh? - Nein, nicht so sehr.			[sound:49daa7d3-0659-5dca-8a5a-bdb19a5869bc.mp3]
hier	here		Familie Reinke wohnt seit sechs Jahren hier.		adv	[sound:22cf2f4b-3367-54cf-8886-6ad2010c65ee.mp3]
zwei	two		Paul hat zwei Fragen an dich.		num	[sound:81048aa8-e696-5668-9812-5f045a6bebe6.mp3]
viel	much, a lot, many		Sie haben heute nicht viel Spaß.		pron	[sound:fab7bf9c-11b7-586a-be61-1cd49a1d8f22.mp3]
gut	good		Das Eis schmeckt gut.		adj	[sound:b0fbc270-940a-5057-87d4-0e56167825cb.mp3]
bis	until, till		1) Bis nächsten Dienstag! 2) Ich warte, bis du fertig bist.		prep; conj	[sound:d22e5f7a-4d30-560e-8c52-47972316dfca.mp3]
immer	always (i~)		Er kommt immer zu spät.		adv	[sound:6b8d94d4-5005-51e7-bd94-e760d358b5a3.mp3]
gehen	to go	geht; ging; ist gegangen	Wir gehen ins Kino.		verb	[sound:80a49afb-0d7f-57f8-ad6d-35d5c9ea56a1.mp3]
jetzt	now (j~)		Antina schläft jetzt schon zwei Stunden.		adv	[sound:ab3bd628-31f5-5598-8fc3-fd1a6296f420.mp3]
wieder	"again (not 'wiederum')"		Wir haben wieder das gleiche Problem.		adv	[sound:006aa5ec-d77c-531d-a669-04d44a91a935.mp3]
neu	new		Ruben braucht neue Turnschuhe.		adj	[sound:a78c1bd7-ab88-5664-a75f-30c23d4d1ff2.mp3]
groß	big, large, great		Berlin ist eine große Stadt.		adj	[sound:833674b8-e91e-5cc9-8eaa-7513ec553247.mp3]
wollen	to want to	will; wollte; hat gewollt	Ich will nicht mit dir streiten.		verb	[sound:a0b53517-b015-5374-9707-7465e8524c12.mp3]
ganz	whole, all the		Die ganze Welt schaut auf diese Stadt.		adj	[sound:de6eefdc-74bc-5199-92ca-256b08e47b28.mp3]
sehr	very		Ich freue mich sehr über deinen Anruf.		adv	[sound:49ed3d68-fc19-5e17-8880-759b59b37b9a.mp3]
wissen	to know	weiß; wusste; hat gewusst	Woher weißt du das?		verb	[sound:a4669c77-eefc-5e0c-94a7-6b518e12c5d7.mp3]
kommen	to come	kommt; kam; ist gekommen	Wir kommen morgen zu dir.		verb	[sound:14f50017-04a8-5d1c-9876-47a18a1c4ff3.mp3]
doch	however, still (d~)		Boris wollte erst nicht am Turnier teilnehmen, doch dann haben sie ihn überredet.		adv	[sound:1eda1b68-31bd-56dd-84ff-75c1102c577f.mp3]
sollen	should, ought to	soll; sollte; hat gesollt	Soll ich dir einen Tee machen?		verb	[sound:201d6564-df88-5e9e-8b0c-98c997943c22.mp3]
das erste Mal	the first time		Das erste Mal war ich sehr skeptisch.			[sound:1f0a4e95-07e1-5ea0-b06b-3a2476a70e58.mp3]
zum ersten Mal	for the first time		Martha fliegt zum ersten Mal.	Erstmals hatten sie keine Angst mehr, Erstmals hatten sie keine Angst mehr, nicht satt zu werden., nicht satt zu werden., Erstmals hatten sie keine Angst mehr, Erstmals hatten sie keine Angst mehr, nicht satt zu werden., nicht satt zu werden.		[sound:de1bbf1c-59d2-5e9a-b103-0fb9d1c64c69.mp3]
nicht so gut	not so good		Bianca spricht nicht so gut Spanisch.			[sound:954bbb26-b997-5fef-a833-93d963fb87ff.mp3]
so gut wie	virtually (so ~)		Der Erfolg ist uns so gut wie sicher.			[sound:1566e04f-e506-5870-b75b-e4a7289d14c7.mp3]
unser	our		Unser Haus ist das schönste im Dorf.		pron	[sound:478401d5-203a-5bfc-ba26-b833ce12632e.mp3]
unter	under		Der Hund liegt unter dem Tisch.		prep	[sound:6bc05bd4-f30f-5fa0-acb2-90574c816148.mp3]
erste	first		Der erste Zug fährt um sechs Uhr ab.		adj	[sound:909d5fd3-29a9-51a8-907f-6dcb1aea1615.mp3]
lange, lang	for a long time		Jakob hat lange auf Rahel gewartet.		adv	[sound:7520e3bc-3823-5add-8767-ec86f35169f5.mp3]
sehen	to see	sieht; sah; hat gesehen	Rainer sieht ohne Brille nichts.		verb	[sound:0032c24b-b6a5-50b0-ae60-a310a1d9a48a.mp3]
jeder	every		Wir fahren jedes Jahr nach Italien.		pron	[sound:4f393cac-4a20-57ff-bac4-fad7ef57ee2b.mp3]
lang	long		Heute war ein langer Tag.		adj	[sound:85d0fc2f-b8a3-53f9-974a-0302d9fd9504.mp3]
stehen	to stand	steht; stand; hat gestanden	Der Maler steht auf dem Balkon.		verb	[sound:087234c5-2433-589f-9359-ac241781fb55.mp3]
denn	because (d~)		Wir gingen wieder ins Haus, denn es war draußen zu kühl geworden.		conj	[sound:d6fa1118-f9d4-5bb4-a9f6-5c1ebb461d33.mp3]
zum Beispiel (z. B.)	for example (e.g.)		Ich könnte zum Beispiel früher kommen.			[sound:58f78d62-6e7e-5d6f-8496-6da0e1d7b29d.mp3]
in dieser Zeit	during this time		Peter ist in dieser Zeit sehr wenig weggegangen.			[sound:961ff0c5-47ad-5634-96d1-8ec2fcbebb35.mp3]
in letzter Zeit	lately (in ~)		Es hat in letzter Zeit sehr viel geschneit.			[sound:766ad3f9-b9a9-52f3-b161-adfdbd042cba.mp3]
damit	1) with it; 2) so that		1) Was meinst du damit? 2) Ich höre dir zu, damit ich dich richtig verstehe.		1) pron; 2) conj	[sound:a8814793-8c99-5de4-bbcc-39de54281171.mp3]
in der Zeit	in the time		In der Zeit vor 1989 bestand der Ostblock.			[sound:568a92c6-b16d-5cea-bf84-cdee74c80e60.mp3]
die Zeit	time (Z~)	die Zeiten	Ich habe keine Zeit.		noun	[sound:81a088d8-9665-5488-8adc-e310cf3e16ad.mp3]
weil	because (w~)		Wir bleiben zu Hause, weil schlechtes Wetter ist.		conj	[sound:7aac0aca-5c77-505f-8dac-1f7d11356131.mp3]
seit langem	for a long time (seit ~)		Seit langem träumt Antina von einem Ballonflug.			[sound:77277cdd-77fb-52ab-80e9-6d9b954d65b5.mp3]
oben	above, up there		Die Bücher stehen oben im Regal.		adv	[sound:48a23911-8f9b-5811-8db1-9fbaba769e92.mp3]
lassen	to let, allow, have done	läst; ließ; hat gelassen	Lass mich das machen.		verb	[sound:171ac30a-28dc-5f3d-9f8f-41b907f3b044.mp3]
das Beispiel	example (B~)	die Beispiele	St. Martin ist ein gutes Beispiel für praktizierte Nächstenliebe.		noun	[sound:064f69de-1ea3-5d3e-b0b5-bebbefc0c656.mp3]
mit der Zeit	over time		Mit der Zeit gewöhnt man sich an alles.			[sound:4059a025-e049-55f5-9b26-475c5ac2f1fa.mp3]
die ganze Zeit	the entire time		Nicole hat die ganze Zeit in der Bibliothek verbracht.			[sound:dac5caa5-4af4-5d13-bdd3-9bba33027a64.mp3]
wo	where		Wo wohnst du?		adv	[sound:b710090c-b2fb-5f03-92fa-83a24cf16e3d.mp3]
selbst, selber	1) -self; 2) even		1) Ich möchte ihn selbst fragen. 2) Selbst Paul hat die Prüfung bestanden.		1) pron; 2) part	[sound:e43745b7-5b82-53c6-92e7-e663d696557a.mp3]
