Time	001_python_music_randomiser	004_real_python_queues A	004_real_python_queues B	GOOGLEAPPS 001	PANDAS 001	PANDAS 002	PANDAS 003	PANDAS 004	PANDAS 006 anki	PANDAS 007 Car	PANDAS 008 anki nlp	PANDAS 009	PYTHON_DABAEZ 001	PYTHON_FROM_DOCS 002	PYTHON_REAL_PYTHON 001	PYTHON_REAL_PYTHON 002
2024-01-16 08:25	0 days 00:57:00															
2024-01-18 08:32	45309 days 07:58:00															
2024-01-18 08:32	0 days 00:35:00															
2024-01-18 08:33	0 days 00:36:00															
2024-01-25 18:06	0 days 01:52:00															
2024-01-29 10:22	0 days 10:58:00															
2024-02-05 14:32	0 days 00:30:00															
2024-02-06 10:52											0 days 00:25:00					
2024-02-07 11:33															0 days 00:38:00	
2024-02-14 15:06		0 days 00:38:00														
2024-02-15 22:39						0 days 00:20:00										
2024-02-16 10:11														0 days 00:25:00		
2024-02-17 11:38			0 days 00:34:00													
2024-02-18 18:32			0 days 00:26:00													
